Order ID,Order Date,Ship Date,Customer Name,State,Region,Product Category,Sub-Category,Sales,Quantity,Discount,Profit,Delivery Time (Days),Month-Year
ORD100000,2022-01-01 00:00:00,2022-01-03 00:00:00,Elizabeth Jones,Gujarat,East,Toys,Headphones,811.63,7,0.16,29.7,2,2022-01
ORD100001,2022-01-01 01:00:00,2022-01-03 01:00:00,Ashley Gonzalez,Uttar Pradesh,West,Clothing,Snacks,1906.36,4,0.09,237.7,2,2022-01
ORD100002,2022-01-01 02:00:00,2022-01-03 02:00:00,Christopher Moore,Gujarat,North,Furniture,Snacks,1490.79,2,0.21,360.19,2,2022-01
ORD100003,2022-01-01 03:00:00,2022-01-03 03:00:00,John Perez,West Bengal,North,Toys,Snacks,1237.45,5,0.22,-23.89,2,2022-01
ORD100004,2022-01-01 04:00:00,2022-01-03 04:00:00,Crystal Hahn,West Bengal,North,Electronics,T-Shirts,396.44,3,0.1,422.01,2,2022-01
ORD100005,2022-01-01 05:00:00,2022-01-03 05:00:00,Mary Campbell,Gujarat,East,Toys,Phones,396.39,9,0.2,405.63,2,2022-01
ORD100006,2022-01-01 06:00:00,2022-01-03 06:00:00,Cindy Perez,Bihar,West,Electronics,Board Games,210.36,6,0.08,336.43,2,2022-01
ORD100007,2022-01-01 07:00:00,2022-01-03 07:00:00,Monica Barton,Delhi,North,Furniture,T-Shirts,1745.73,1,0.22,155.58,2,2022-01
ORD100008,2022-01-01 08:00:00,2022-01-03 08:00:00,Christopher Jenkins,West Bengal,East,Toys,T-Shirts,1242.12,3,0.0,-99.07,2,2022-01
ORD100009,2022-01-01 09:00:00,2022-01-03 09:00:00,Robin Hernandez,Gujarat,East,Electronics,Headphones,1445.34,4,0.05,340.86,2,2022-01
ORD100010,2022-01-01 10:00:00,2022-01-03 10:00:00,Raymond Morales,Karnataka,East,Furniture,Headphones,139.11,9,0.07,427.39,2,2022-01
ORD100011,2022-01-01 11:00:00,2022-01-03 11:00:00,Raven Mahoney,Uttar Pradesh,East,Furniture,Snacks,1942.83,6,0.23,101.17,2,2022-01
ORD100012,2022-01-01 12:00:00,2022-01-03 12:00:00,Joshua Sawyer,West Bengal,West,Electronics,Board Games,1681.64,4,0.02,330.79,2,2022-01
ORD100013,2022-01-01 13:00:00,2022-01-03 13:00:00,Bradley Collier,Delhi,East,Clothing,Phones,503.44,1,0.06,-62.77,2,2022-01
ORD100014,2022-01-01 14:00:00,2022-01-03 14:00:00,Rebecca Rodriguez,Delhi,East,Furniture,T-Shirts,445.47,8,0.11,325.7,2,2022-01
ORD100015,2022-01-01 15:00:00,2022-01-03 15:00:00,Jason Campbell,Bihar,West,Clothing,T-Shirts,448.47,2,0.0,-59.01,2,2022-01
ORD100016,2022-01-01 16:00:00,2022-01-03 16:00:00,Rebecca Tucker,Karnataka,East,Grocery,Chairs,678.06,8,0.23,252.31,2,2022-01
ORD100017,2022-01-01 17:00:00,2022-01-03 17:00:00,Katherine Berry,Tamil Nadu,East,Electronics,Board Games,1097.04,6,0.17,258.53,2,2022-01
ORD100018,2022-01-01 18:00:00,2022-01-03 18:00:00,Andrew Smith,Bihar,South,Grocery,Snacks,920.7,8,0.27,81.29,2,2022-01
ORD100019,2022-01-01 19:00:00,2022-01-03 19:00:00,Beverly Smith,Karnataka,South,Toys,T-Shirts,653.34,6,0.01,-52.53,2,2022-01
ORD100020,2022-01-01 20:00:00,2022-01-03 20:00:00,Richard Harris,Bihar,West,Electronics,T-Shirts,1262.52,5,0.08,469.6,2,2022-01
ORD100021,2022-01-01 21:00:00,2022-01-03 21:00:00,Timothy Gomez,Uttar Pradesh,South,Clothing,Tables,365.04,5,0.22,221.35,2,2022-01
ORD100022,2022-01-01 22:00:00,2022-01-03 22:00:00,Kelli Dixon,Tamil Nadu,East,Grocery,Board Games,655.07,8,0.2,247.85,2,2022-01
ORD100023,2022-01-01 23:00:00,2022-01-03 23:00:00,Scott Harris,Maharashtra,South,Toys,Tables,796.09,7,0.07,269.01,2,2022-01
ORD100024,2022-01-02 00:00:00,2022-01-04 00:00:00,Melissa Elliott,Uttar Pradesh,South,Toys,Tables,966.53,8,0.18,434.63,2,2022-01
ORD100025,2022-01-02 01:00:00,2022-01-04 01:00:00,Michael Brown,Bihar,South,Electronics,Headphones,1591.83,8,0.24,-63.85,2,2022-01
ORD100026,2022-01-02 02:00:00,2022-01-04 02:00:00,Robert Campbell,West Bengal,East,Furniture,Board Games,479.38,7,0.01,435.97,2,2022-01
ORD100027,2022-01-02 03:00:00,2022-01-04 03:00:00,Ian Dixon,Gujarat,South,Toys,Headphones,1077.05,2,0.22,43.81,2,2022-01
ORD100028,2022-01-02 04:00:00,2022-01-04 04:00:00,Philip Brewer,Karnataka,East,Grocery,T-Shirts,1225.59,9,0.08,-53.23,2,2022-01
ORD100029,2022-01-02 05:00:00,2022-01-04 05:00:00,Jon Smith,Bihar,East,Furniture,Snacks,188.26,7,0.28,294.36,2,2022-01
ORD100030,2022-01-02 06:00:00,2022-01-04 06:00:00,Johnathan Dillon,Uttar Pradesh,North,Grocery,Snacks,1254.34,6,0.16,486.19,2,2022-01
ORD100031,2022-01-02 07:00:00,2022-01-04 07:00:00,Gabriel Baker,Uttar Pradesh,South,Toys,Board Games,424.0,9,0.01,-65.65,2,2022-01
ORD100032,2022-01-02 08:00:00,2022-01-04 08:00:00,Robert Adams,Delhi,South,Clothing,Tables,223.6,1,0.12,155.67,2,2022-01
ORD100033,2022-01-02 09:00:00,2022-01-04 09:00:00,Patricia Hardy,West Bengal,North,Furniture,Chairs,1902.88,2,0.29,217.87,2,2022-01
ORD100034,2022-01-02 10:00:00,2022-01-04 10:00:00,Carl Lee,Gujarat,North,Grocery,Snacks,1934.7,1,0.22,51.27,2,2022-01
ORD100035,2022-01-02 11:00:00,2022-01-04 11:00:00,Donald Roberts,Maharashtra,East,Clothing,Chairs,1635.95,3,0.09,489.72,2,2022-01
ORD100036,2022-01-02 12:00:00,2022-01-04 12:00:00,Amanda Brown,Maharashtra,South,Electronics,Tables,678.77,5,0.17,284.58,2,2022-01
ORD100037,2022-01-02 13:00:00,2022-01-04 13:00:00,Sophia Gonzalez,West Bengal,South,Grocery,Board Games,285.58,1,0.18,406.61,2,2022-01
ORD100038,2022-01-02 14:00:00,2022-01-04 14:00:00,Kenneth Stewart,Maharashtra,North,Toys,Chairs,1400.04,4,0.01,149.47,2,2022-01
ORD100039,2022-01-02 15:00:00,2022-01-04 15:00:00,Brandon Hutchinson,Tamil Nadu,North,Clothing,Tables,936.29,8,0.05,112.37,2,2022-01
ORD100040,2022-01-02 16:00:00,2022-01-04 16:00:00,Jennifer Thomas,West Bengal,South,Furniture,Chairs,331.87,6,0.17,231.89,2,2022-01
ORD100041,2022-01-02 17:00:00,2022-01-04 17:00:00,Jennifer Kim,Uttar Pradesh,North,Grocery,Tables,1040.84,1,0.12,161.17,2,2022-01
ORD100042,2022-01-02 18:00:00,2022-01-04 18:00:00,Kristen Vargas,Uttar Pradesh,West,Electronics,Headphones,165.34,1,0.06,328.97,2,2022-01
ORD100043,2022-01-02 19:00:00,2022-01-04 19:00:00,Barbara Everett,Karnataka,East,Furniture,Board Games,1827.71,3,0.23,59.49,2,2022-01
ORD100044,2022-01-02 20:00:00,2022-01-04 20:00:00,Levi Gonzalez,Maharashtra,East,Furniture,Phones,591.68,8,0.15,169.75,2,2022-01
ORD100045,2022-01-02 21:00:00,2022-01-04 21:00:00,Alan Johnson,Tamil Nadu,North,Clothing,Tables,1358.79,8,0.09,437.08,2,2022-01
ORD100046,2022-01-02 22:00:00,2022-01-04 22:00:00,Patrick Chan,Gujarat,West,Clothing,Chairs,692.25,3,0.05,353.66,2,2022-01
ORD100047,2022-01-02 23:00:00,2022-01-04 23:00:00,Lauren Jones,Gujarat,North,Grocery,Headphones,1088.13,7,0.18,0.84,2,2022-01
ORD100048,2022-01-03 00:00:00,2022-01-05 00:00:00,Alexander Castillo,Maharashtra,East,Clothing,Phones,1138.75,3,0.2,432.12,2,2022-01
ORD100049,2022-01-03 01:00:00,2022-01-05 01:00:00,Jennifer Williams,Gujarat,North,Toys,T-Shirts,451.22,4,0.2,253.41,2,2022-01
ORD100050,2022-01-03 02:00:00,2022-01-05 02:00:00,Aaron Mitchell,Maharashtra,South,Toys,Snacks,1942.21,9,0.07,307.57,2,2022-01
ORD100051,2022-01-03 03:00:00,2022-01-05 03:00:00,Robert Hart,Gujarat,West,Grocery,T-Shirts,1572.75,4,0.18,76.55,2,2022-01
ORD100052,2022-01-03 04:00:00,2022-01-05 04:00:00,Douglas Burke,Delhi,North,Toys,Phones,1885.05,3,0.27,164.93,2,2022-01
ORD100053,2022-01-03 05:00:00,2022-01-05 05:00:00,Lisa Smith,Karnataka,East,Clothing,Board Games,1800.17,5,0.11,384.09,2,2022-01
ORD100054,2022-01-03 06:00:00,2022-01-05 06:00:00,Stephanie Alvarez,Maharashtra,South,Clothing,Headphones,1236.01,7,0.06,98.41,2,2022-01
ORD100055,2022-01-03 07:00:00,2022-01-05 07:00:00,Lawrence Pearson,Maharashtra,North,Grocery,Board Games,1851.56,5,0.23,-0.96,2,2022-01
ORD100056,2022-01-03 08:00:00,2022-01-05 08:00:00,Kenneth Hill,Delhi,West,Furniture,T-Shirts,268.14,4,0.05,126.98,2,2022-01
ORD100057,2022-01-03 09:00:00,2022-01-05 09:00:00,Andrew Atkinson,Maharashtra,East,Grocery,Chairs,472.37,8,0.08,-58.47,2,2022-01
ORD100058,2022-01-03 10:00:00,2022-01-05 10:00:00,Bailey Cowan MD,West Bengal,West,Clothing,T-Shirts,185.93,4,0.03,330.71,2,2022-01
ORD100059,2022-01-03 11:00:00,2022-01-05 11:00:00,Ian Johnson,Delhi,North,Electronics,Phones,718.13,2,0.08,-11.35,2,2022-01
ORD100060,2022-01-03 12:00:00,2022-01-05 12:00:00,Joseph Cole,Karnataka,North,Toys,Board Games,838.49,6,0.12,71.08,2,2022-01
ORD100061,2022-01-03 13:00:00,2022-01-05 13:00:00,Anthony Ayers,Tamil Nadu,East,Grocery,T-Shirts,615.56,2,0.02,428.65,2,2022-01
ORD100062,2022-01-03 14:00:00,2022-01-05 14:00:00,Julie Munoz,Uttar Pradesh,South,Clothing,Phones,1674.6,3,0.26,224.3,2,2022-01
ORD100063,2022-01-03 15:00:00,2022-01-05 15:00:00,Ian Russell,Uttar Pradesh,West,Electronics,Snacks,777.83,1,0.15,92.8,2,2022-01
ORD100064,2022-01-03 16:00:00,2022-01-05 16:00:00,Marcus Short,Gujarat,East,Toys,Phones,633.78,5,0.18,228.6,2,2022-01
ORD100065,2022-01-03 17:00:00,2022-01-05 17:00:00,Scott Hill,Gujarat,North,Clothing,Headphones,1131.12,9,0.11,30.97,2,2022-01
ORD100066,2022-01-03 18:00:00,2022-01-05 18:00:00,John Cummings,Bihar,West,Clothing,Tables,367.76,2,0.2,-84.9,2,2022-01
